週,カテゴリ,競合,媒体,重要度,日付,タイトル,先週,今週,AIメモ,入札上昇,入札下落,ネクストアクション,社外価値,ID,指標名,指標値,シグナル,前回順位,今回順位,CPC
2026/07/14週,KW,三菱地所ハウスネット（自社）,リスティング(Google/Yahoo),中,2026-07-04,リスティング出稿KW・掲載順位の変化,,,Keywordmap取込。検知KW81件（上昇/新規81・下落/非表示0／表示は上位12件）。想定集客コスト上位: 売却 マンション（約50.6万円）。(出典: Keywordmap),ザ パーク ハウス 新規表示（→2位）;パークハウス 新規表示（→2位）;売却 マンション 新規表示（→6位）;マンション売却 税 新規表示（→6位）;プラウド成城 新規表示（→1位）;パークハウス文京関口 新規表示（→5位）;ザパークハウス相生山 新規表示（→5位）;渋谷藤和コープ 新規表示（→1位）;四条烏丸クロスマーク 新規表示（→2位）;パークハウス神楽坂 新規表示（→2位）;ザガーデンズ東京王子 新規表示（→5位）;洗足ミナミプラザ 新規表示（→5位）,,,,KW-三菱地所ハウスネット（自社）,想定流入数,2693
2026/07/14週,TD,三菱地所ハウスネット（自社）,リスティング(Google/Yahoo),中,2026-07-04,広告見出し: 三菱地所ハウスネット,,三菱地所ハウスネット ／ 安心と信頼の三菱地所グループ — 三菱地所グループの不動産売買仲介サイト。売主様、買主様の安心な不動産取引をサポート。不…,Keywordmap取込。想定流入数571・3KWで表示。(出典: Keywordmap),,,,,TD-三菱地所ハウスネット,想定流入数,571
2026/07/14週,TD,三菱地所ハウスネット（自社）,リスティング(Google/Yahoo),中,2026-07-04,広告見出し: パークハウスの売却はこちら | ザ・パークハウス,,パークハウスの売却はこちら | ザ・パークハウス ／ ザ・パークハウスのご売却なら三菱地所の住まいリレー。パークハウスのご売却は三菱地所の住まいリレーへお任せください。 周辺…,Keywordmap取込。想定流入数364・1KWで表示。(出典: Keywordmap),,,,,TD-パークハウスの売却はこちら | ザ・パークハウス,想定流入数,364
2026/07/14週,TD,三菱地所ハウスネット（自社）,リスティング(Google/Yahoo),中,2026-07-04,広告見出し: パークハウスの売却はこちら | 【公式】三菱地所の住…,,パークハウスの売却はこちら | 【公式】三菱地所の住まいリレー ／ パークハウスのご売却は三菱地所の住まいリレーへお任せください。 経験と実績を重ねてきた三菱地所グループの安心サービスでお…,Keywordmap取込。想定流入数364・1KWで表示。(出典: Keywordmap),,,,,TD-パークハウスの売却はこちら | 【公式】三菱地所の住まいリレー,想定流入数,364
2026/07/14週,TD,三菱地所ハウスネット（自社）,リスティング(Google/Yahoo),中,2026-07-04,広告見出し: プラウド成城,,プラウド成城 ／ 大手不動産会社だから安心 — 査定価格を知りたい方に！マンション・土地・一戸建ての無料査定依頼なら三菱地所の住まいリレー…,Keywordmap取込。想定流入数135・1KWで表示。(出典: Keywordmap),,,,,TD-プラウド成城,想定流入数,135
2026/07/14週,TD,三菱地所ハウスネット（自社）,リスティング(Google/Yahoo),中,2026-07-04,広告見出し: 渋谷藤和コープ,,渋谷藤和コープ ／ 【公式】三菱地所の住まいリレー — 三菱地所グループ分譲マンションのご売却は三菱地所の住まいリレーへお任せください。 経…,Keywordmap取込。想定流入数92・1KWで表示。(出典: Keywordmap),,,,,TD-渋谷藤和コープ,想定流入数,92
2026/07/14週,KWシグナル,三菱地所ハウスネット（自社）,リスティング(Google/Yahoo),中,2026-06-04,売却 マンション,,,🆕新規（自社）｜掲載順位 —→6｜CPC ¥10326｜想定集客コスト ¥505986｜検索Vol 5400。(出典: Keywordmap),,,,,KWSIG-三菱地所ハウスネット（自社）-売却 マンション,想定集客コスト,505986,new,—,6,10326
2026/07/14週,KWシグナル,三菱地所ハウスネット（自社）,リスティング(Google/Yahoo),中,2026-06-10,ザ パーク ハウス,,,🆕新規（自社）｜掲載順位 —→2｜CPC ¥484｜想定集客コスト ¥176245｜検索Vol 12100。(出典: Keywordmap),,,,,KWSIG-三菱地所ハウスネット（自社）-ザ パーク ハウス,想定集客コスト,176245,new,—,2,484
2026/07/14週,KWシグナル,三菱地所ハウスネット（自社）,リスティング(Google/Yahoo),中,2026-06-03,パークハウス,,,🆕新規（自社）｜掲載順位 —→2｜CPC ¥483｜想定集客コスト ¥175655｜検索Vol 12100。(出典: Keywordmap),,,,,KWSIG-三菱地所ハウスネット（自社）-パークハウス,想定集客コスト,175655,new,—,2,483
2026/07/14週,KWシグナル,三菱地所ハウスネット（自社）,リスティング(Google/Yahoo),中,2026-06-04,マンション売却の流れ,,,🆕新規（自社）｜掲載順位 —→4｜CPC ¥2079｜想定集客コスト ¥33270｜検索Vol 720。(出典: Keywordmap),,,,,KWSIG-三菱地所ハウスネット（自社）-マンション売却の流れ,想定集客コスト,33270,new,—,4,2079
