週,カテゴリ,競合,媒体,重要度,日付,タイトル,先週,今週,AIメモ,入札上昇,入札下落,ネクストアクション,社外価値,ID,指標名,指標値
2026/07/14週,ニュース,住友不動産,プレスリリース,高,2025/04/01,「住友不動産ステップ」へ商号変更＋購入専門部署を新設,住友不動産販売,住友不動産ステップに商号変更／「ステップ購入エージェンシー」を首都圏5・関西1店に新設,購入検討層の囲い込みを強化。デジタル広告への全面移行・ステップオークションも推進（出典: 住友不動産ステップ公式／日経）,,,,,NEWS-sumitomo-shogo,,
2026/07/14週,CR,住友不動産,GDN;Yahoo;Microsoft;Facebook;SmartNews,高,2026-07-15,クリエイティブ出稿の全体像,,総CR3698本（画像3403／動画281／カルーセル14）・新規CR3138本・LP1115本（新規LP1041）,ADクロール取込。表示回数約34万回。媒体内訳(CR数): GDN 1096／Yahoo 855／Microsoft 379／Facebook 319／SmartNews 315／Instagram 289。出稿期間 2020-01-22〜2026-07-15。(出典: ADクロール),,,,,CR-summary,表示回数,340495
2026/07/14週,CR,住友不動産,Microsoft,中,2026-07-15,主要クリエイティブ訴求: 【この二択】あなたはどうする？不動産価格が高水準の今…,,【この二択】あなたはどうする？不動産価格が高水準の今！賢い選択をご提案します,ADクロール取込。表示回数(7日増)809・9クリエイティブ・1媒体。(出典: ADクロール),,,,,CR-【この二択】あなたはどうする？不動産価格が高水準の今！賢い選択をご提案します,表示回数(7日増),809
2026/07/14週,CR,住友不動産,Microsoft;Instagram;Facebook,中,2026-07-15,主要クリエイティブ訴求: 意外と知らない！我が家の資産価値って？最新の相場から…,,意外と知らない！我が家の資産価値って？最新の相場から資産価値をお伝えします！,ADクロール取込。表示回数(7日増)731・9クリエイティブ・3媒体。(出典: ADクロール),,,,,CR-意外と知らない！我が家の資産価値って？最新の相場から資産価値をお伝えします！,表示回数(7日増),731
2026/07/14週,CR,住友不動産,SmartNews,中,2026-07-15,主要クリエイティブ訴求: 「今の価値を知りたい」住友不動産ステップの無料査定が…,,「今の価値を知りたい」住友不動産ステップの無料査定が選ばれる理由とは？,ADクロール取込。表示回数(7日増)527・29クリエイティブ・1媒体。リード: 事例多数！最新の相場と市場傾向から適切なプランをご提案。賢く売却するならまずはプ…。(出典: ADクロール),,,,,CR-「今の価値を知りたい」住友不動産ステップの無料査定が選ばれる理由とは？,表示回数(7日増),527
2026/07/14週,CR,住友不動産,Youtube;Yahoo;GDN;Microsoft,中,2026-07-15,主要クリエイティブ訴求: 最新の相場と傾向お教えします,,最新の相場と傾向お教えします,ADクロール取込。表示回数(7日増)319・606クリエイティブ・5媒体。リード: 事例多数！まずは現在の資産価値と需要を確認してみませんか。30秒でできるカンタン…。(出典: ADクロール),,,,,CR-最新の相場と傾向お教えします,表示回数(7日増),319
2026/07/14週,CR,住友不動産,Yahoo;Microsoft;GDN;LINE,中,2026-07-15,主要クリエイティブ訴求: 今後の不動産価格どうなる？,,今後の不動産価格どうなる？,ADクロール取込。表示回数(7日増)267・36クリエイティブ・4媒体。リード: 不動産のプロが解説！今の時期だからこその売却戦略をご案内！実績多数安心してお任せ…。(出典: ADクロール),,,,,CR-今後の不動産価格どうなる？,表示回数(7日増),267
2026/07/14週,CR,住友不動産,Youtube;Yahoo;Microsoft,中,2026-07-15,主要クリエイティブ訴求: 本当に？[購入10年]我が家の価値,,本当に？[購入10年]我が家の価値,ADクロール取込。表示回数(7日増)236・18クリエイティブ・3媒体。リード: 意外にもこんなに高いの？という声が続々！高く売れた事例・適切な売却方法をご案内。(出典: ADクロール),,,,,CR-本当に？[購入10年]我が家の価値,表示回数(7日増),236
2026/07/14週,CR,住友不動産,Microsoft,中,2026-07-15,主要クリエイティブ訴求: 売るか迷う…今の価値を確認から,,売るか迷う…今の価値を確認から,ADクロール取込。表示回数(7日増)201・3クリエイティブ・1媒体。(出典: ADクロール),,,,,CR-売るか迷う…今の価値を確認から,表示回数(7日増),201
2026/07/14週,LP,住友不動産,Microsoft;Yahoo;LINE;GDN,中,2026-07-15,誘導LP: 不動産査定なら｜【住友不動産販売】全国に広がる直営仲…,,https://www.stepon.co.jp/lp/uri/?argument=nodf34lq,ADクロール取込。CR数825・LP表示回数約20.4万回・4媒体。説明: 不動産の査定なら 【住友不動産販売】にお任せください!!住友不動産販売は全国に広がる営業ネットワーク…。(出典: ADクロール),,,,,LP-https://www.stepon.co.jp/lp/uri/?argument=nodf34lq,LP表示回数,203659
2026/07/14週,LP,住友不動産,SmartNews;Facebook;Instagram,中,2026-07-15,誘導LP: 不動産の好条件売却ができる理由があります | 住友不…,,https://kiwamilp.stepon.co.jp/876e1c59/index.html?argument=nodf34lq,ADクロール取込。CR数919・LP表示回数約10.6万回・3媒体。説明: あなたの住まいは今いくら？売却する時期はいつがいい? 我が家も本当に売却できる？住友不動産販売が最新…。(出典: ADクロール),,,,,LP-https://kiwamilp.stepon.co.jp/876e1c59/index.html?argument=nodf34lq,LP表示回数,106166
2026/07/14週,LP,住友不動産,Yahoo;LINE,中,2025-12-13,誘導LP: 不動産の好条件売却ができる理由があります | 住友不…,,https://kiwamilp.stepon.co.jp/eb1daa7f/index.html?argument=nodf34lq,ADクロール取込。CR数63・LP表示回数2931回・2媒体。説明: あなたの住まいは今いくら？売却する時期はいつがいい? 我が家も本当に売却できる？住友不動産ステップが…。(出典: ADクロール),,,,,LP-https://kiwamilp.stepon.co.jp/eb1daa7f/index.html?argument=nodf34lq,LP表示回数,2931
2026/07/14週,LP,住友不動産,Yahoo;dメニュー,中,2026-07-12,誘導LP: 不動産の好条件売却ができる理由があります | 住友不…,,https://www.stepon.co.jp/lp/uri/?argument=nodf34lq&_ly_src=da,ADクロール取込。CR数121・LP表示回数2675回・2媒体。説明: あなたの住まいは今いくら？売却する時期はいつがいい? 我が家も本当に売却できる？住友不動産ステップが…。(出典: ADクロール),,,,,LP-https://www.stepon.co.jp/lp/uri/?argument=nodf34lq&_ly_src=da,LP表示回数,2675
2026/07/14週,LP,住友不動産,Yahoo;LINE,中,2026-07-09,誘導LP: 不動産の好条件売却ができる理由があります | 住友不…,,https://kiwamilp.stepon.co.jp/37953cab/index.html?argument=nodf34lq,ADクロール取込。CR数23・LP表示回数2581回・2媒体。説明: あなたの住まいは今いくら？売却する時期はいつがいい? 我が家も本当に売却できる？住友不動産ステップが…。(出典: ADクロール),,,,,LP-https://kiwamilp.stepon.co.jp/37953cab/index.html?argument=nodf34lq,LP表示回数,2581
2026/07/14週,LP,住友不動産,Yahoo,中,2026-07-10,誘導LP: 不動産の好条件売却ができる理由があります | 住友不…,,https://kiwamilp.stepon.co.jp/eb1daa7f/index.html?argument=nodf34lq&_ly_src=da,ADクロール取込。CR数26・LP表示回数2409回・1媒体。説明: あなたの住まいは今いくら？売却する時期はいつがいい? 我が家も本当に売却できる？住友不動産ステップが…。(出典: ADクロール),,,,,LP-https://kiwamilp.stepon.co.jp/eb1daa7f/index.html?argument=nodf34lq&_ly_src=da,LP表示回数,2409
